Tahun,JumlahProduksi,LuasPanen,CurahHujan,HariHujan,JumlahPekerja
2011,563632,4918,1765,122,19548
2012,481950,4264,1701,111,13072
2013,413295,3611,1713,135,13111
2014,382300,3269,1670,130,13145
2015,322700,3034,1539,99,13176
2016,386885,3576,2480,145,13144
2017,318555,3210,2344,112,19673
2018,396040,4013,1587,90,16015
2019,408700,4087,1504,38,12248
2020,532661,3770,2881,135,15978
